season,team,ws,vorp,x3p_ar,ts_percent,ast_percent,drb_percent,age
1980,2TM,63.6,9.0,0.032409090909090915,0.5178636363636364,14.536363636363637,13.759090909090908,27.0
1980,3TM,3.5,0.9,0.003,0.594,7.9,20.4,27.0
1980,ATL,49.3,13.5,0.008777777777777778,0.5268888888888889,13.61111111111111,13.533333333333333,26.11111111111111
1980,BOS,55.7,17.3,0.0545,0.5533750000000001,15.225,13.4125,27.125
1980,CHI,33.8,7.6,0.023444444444444445,0.5492222222222222,14.733333333333333,15.755555555555556,26.444444444444443
1980,CLE,40.7,10.5,0.0342,0.5108,13.919999999999998,13.13,27.1
1980,DEN,28.1,5.3,0.036199999999999996,0.5112,15.5,13.719999999999999,26.7
1980,DET,19.9,2.0,0.02009090909090909,0.5236363636363636,13.745454545454544,12.20909090909091,24.545454545454547
1980,GSW,31.8,6.4,0.017599999999999998,0.5195000000000001,13.73,13.77,26.1
1980,HOU,39.0,10.5,0.058,0.5302222222222223,16.444444444444443,11.533333333333333,27.333333333333332
1980,IND,40.3,9.9,0.05422222222222222,0.5287777777777778,13.977777777777778,12.266666666666666,25.0
1980,KCK,44.3,12.9,0.01225,0.52675,15.4125,13.0625,25.25
1980,LAL,52.6,16.4,0.014142857142857143,0.568,15.214285714285714,13.185714285714285,26.428571428571427
1980,MIL,45.6,12.6,0.0154,0.5142,15.65,12.68,25.2
1980,NJN,30.4,8.2,0.029375,0.51825,14.425,13.95,25.625
1980,NYK,34.5,9.8,0.019857142857142858,0.5392857142857144,13.514285714285714,13.685714285714285,23.857142857142858
1980,PHI,47.0,14.799999999999999,0.019571428571428573,0.5492857142857143,15.700000000000001,14.185714285714285,27.714285714285715
1980,PHO,43.0,12.5,0.04133333333333333,0.5253333333333333,15.97777777777778,12.877777777777778,26.333333333333332
1980,POR,35.7,8.4,0.0172,0.5165,14.05,13.76,26.3
1980,SAS,37.4,10.3,0.026333333333333334,0.5482222222222223,16.433333333333334,12.744444444444445,27.22222222222222
1980,SDC,28.3,5.7,0.06575,0.509875,11.5375,12.4375,28.0
1980,SEA,49.3,14.6,0.022125,0.51725,14.075,13.7,27.75
1980,UTA,27.099999999999998,5.4,0.026625000000000003,0.54925,14.3125,13.4375,25.75
1980,WSB,32.2,8.9,0.0355,0.513375,18.475,12.1875,29.25
1981,2TM,25.7,1.7,0.016307692307692308,0.5073076923076923,17.846153846153847,9.584615384615384,25.23076923076923
1981,ATL,37.9,9.7,0.0118,0.5476,13.77,13.39,26.5
1981,BOS,53.0,16.8,0.03125,0.55475,14.65,13.5,26.625
1981,CHI,44.7,12.1,0.025374999999999998,0.551125,14.0625,13.899999999999999,27.375
1981,CLE,28.3,6.1,0.03928571428571428,0.5171428571428571,13.9,13.742857142857144,25.571428571428573
1981,DAL,22.2,3.0,0.014555555555555556,0.5325555555555556,16.044444444444444,12.666666666666666,25.0
1981,DEN,40.0,9.6,0.0167,0.5266,13.01,13.49,26.3
1981,DET,24.7,4.4,0.014333333333333333,0.5078888888888888,13.755555555555555,13.11111111111111,24.22222222222222
1981,GSW,37.3,9.8,0.013714285714285715,0.5378571428571429,15.042857142857143,12.799999999999999,24.428571428571427
1981,HOU,41.6,10.2,0.017727272727272727,0.5220909090909092,14.645454545454545,12.354545454545455,27.09090909090909
1981,IND,41.1,11.7,0.035,0.5254444444444445,14.777777777777779,12.755555555555555,26.22222222222222
1981,KCK,39.7,9.8,0.0175,0.5495,15.1375,14.737499999999999,26.25
1981,LAL,48.8,14.5,0.012,0.543125,14.875,14.55,26.875
1981,MIL,54.6,17.3,0.016,0.5466666666666666,14.922222222222224,13.866666666666667,26.77777777777778
1981,NJN,24.9,4.1,0.023,0.5175,15.3,13.819999999999999,25.1
1981,NYK,40.6,13.5,0.030285714285714284,0.5439999999999999,14.028571428571428,13.157142857142857,25.571428571428573
1981,PHI,56.300000000000004,17.900000000000002,0.010555555555555556,0.5605555555555556,16.577777777777776,12.7,27.11111111111111
1981,PHO,53.8,15.600000000000001,0.0229,0.5432,15.55,13.4,25.4
1981,POR,39.6,10.9,0.019,0.54875,15.5375,12.8625,25.75
1981,SAS,44.8,11.5,0.00925,0.544,15.0,14.6875,26.375
1981,SDC,36.2,9.1,0.07444444444444445,0.5197777777777778,15.966666666666665,12.266666666666667,28.22222222222222
1981,SEA,33.3,8.0,0.01933333333333333,0.5211111111111112,16.033333333333335,11.144444444444444,27.0
